stimulus,memorability,scaled_memory_hits,score_emotional,sd_emotional,score_humanmade,sd_humanmade,score_outdoors,sd_outdoors,score_shoebox,sd_shoebox,humanmade_pass,outdoors_pass,shoebox_pass,humanmade_response,outdoors_response,shoebox_response,scaled_emotional,h_index,modal_response,proportion_response,unique,scaled_name
Whip.jpg,0.004793509,0.491127647,0.279645779,0.69502842,1,0,0.375,0.51754917,0.625,0.51754917,1,0,0,human-made,NA,NA,0.744997141,0.899567632,whip,0.827586207,1,0.793024585
Makeup_Eyeshadow.jpg,-0.019545649,0.394390384,-0.038193432,0.661879695,1,0,0,0,1,0,1,1,1,human-made,indoors,smaller than a shoebox,0.545454545,1.476120721,makeup,0.538461538,0,0.599199543
Gun_Nerf.jpg,-0.073984663,0.2209502,0.191546555,0.839585797,1,0,0.25,0.46291005,0.777777778,0.440958552,1,0,0,human-made,NA,NA,0.685534591,1.867965358,nerf gun,0.526315789,1,0.451114923
VacuumHead.jpg,-0.124994544,0.113909559,-0.506094894,0.65846104,1,0,0.25,0.46291005,0.428571429,0.534522484,1,0,0,human-made,NA,NA,0.173241852,2.366136318,vacuum,0.514285714,0,0.27672956
Donut.jpg,0.164481155,0.960503721,1.835187433,0.781803359,0.888888889,0.333333333,0.125,0.353553391,0.777777778,0.440958552,1,1,0,human-made,indoors,NA,0.991423671,0.708596698,donut,0.852941176,1,0.842767296
ProcessorFood_Old.jpg,0.064214918,0.720091586,-0.16048394,1.225872976,1,0,0.111111111,0.333333333,0.222222222,0.440958552,1,1,0,human-made,indoors,NA,0.456832476,1.571346433,grinder,0.56,0,0.552887364
SafetyPin.jpg,-0.003732567,0.463651975,0.170203577,1.104117053,1,0,0.125,0.353553391,1,0,1,1,1,human-made,indoors,smaller than a shoebox,0.67238422,1.28439016,safety pin,0.657142857,1,0.658090337
BicyclePedal.jpg,-0.046123618,0.299942759,-0.372002952,0.42724977,1,0,0.714285714,0.487950036,0.571428571,0.534522484,1,0,0,human-made,NA,NA,0.284162379,2.462683189,pedals,0.36,1,0.249285306
Milkshake_Strawberry.jpg,0.064891087,0.722381225,1.05658103,0.969228149,1,0,0.125,0.353553391,1,0,1,1,1,human-made,indoors,smaller than a shoebox,0.943396226,1.99107606,milkshake,0.555555556,0,0.4053745
NintendoWii.jpg,0.014932921,0.536348025,1.914606671,2.184589248,1,0,0.125,0.353553391,0.2,0.447213595,1,1,0,human-made,indoors,NA,0.993710692,2.308270835,wii,0.444444444,1,0.294453974
Bowl_Cereal.jpg,0.074013045,0.757870635,-0.110150547,1.065092076,0.888888889,0.333333333,0.125,0.353553391,0.777777778,0.440958552,1,1,0,human-made,indoors,NA,0.501429388,2.591793226,cereal,0.388888889,1,0.206403659
